순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,51257,미란다,두산,2.33,28,14,0,1,0,0,6,101,181,0.56
2,77446,백정현,삼성,2.63,27,14,0,0,0,0,17,160,176,0.91
3,64001,고영표,KT,2.92,25,11,0,1,0,0,14,224,120,1.87
4,69343,요키시,키움,2.93,31,16,0,0,0,0,30,265,115,2.30
5,69446,원태인,삼성,3.06,26,14,0,0,0,0,15,177,140,1.26
6,50404,뷰캐넌,삼성,3.10,30,16,0,1,0,0,14,223,136,1.64
7,69103,켈리,LG,3.15,30,13,0,0,0,0,15,197,170,1.16
8,69940,루친스키,NC,3.17,30,15,0,0,0,0,12,206,143,1.44
9,50815,킹험,한화,3.19,25,10,0,0,0,0,5,151,141,1.07
10,67263,최원준,두산,3.30,29,12,0,0,0,0,4,117,230,0.51
11,50040,데스파이네,KT,3.39,33,13,0,0,0,0,12,225,158,1.42
12,51863,폰트,SSG,3.46,25,8,0,0,0,0,4,120,154,0.78
13,51722,카펜터,한화,3.97,30,5,0,0,0,0,10,163,155,1.05
14,64021,박세웅,롯데,3.98,28,10,0,1,0,0,11,203,148,1.37
15,65764,김민우,한화,4.00,28,13,1,0,0,0,14,169,150,1.13
16,50558,스트레일리,롯데,4.07,31,10,0,0,0,0,17,137,171,0.80
17,68902,신민혁,NC,4.41,25,9,0,2,0,0,13,130,182,0.71
18,62754,임기영,KIA,4.88,28,8,0,0,0,0,5,146,170,0.86
19,51567,프랑코,롯데,5.40,27,9,0,1,2,0,12,137,172,0.80
1,64504,오윤석,KT,0.00,0,0,0,1,0,0,0,0,2,0.00
1,51060,지명성,KT,0.00,0,0,1,2,0,0,0,4,5,0.80
3,60559,박시영,KT,2.40,0,0,3,8,16,0,3,47,35,1.34
4,65062,김재윤,KT,2.42,0,0,4,60,37,3,5,44,85,0.52
5,64047,조현우,KT,2.61,0,0,0,3,12,0,1,43,34,1.26
6,65057,이창재,KT,2.70,0,0,2,11,2,0,3,25,32,0.78
7,64017,심재민,KT,2.89,2,0,0,9,1,0,5,52,49,1.06
9,65048,김민수,KT,2.95,1,0,4,17,14,0,7,64,47,1.36
10,65060,주권,KT,3.31,0,0,3,2,36,0,5,54,62,0.87
11,75340,전유수,KT,3.38,0,0,1,3,2,0,1,12,10,1.20
13,67008,이대은,KT,3.48,0,0,3,4,10,0,3,40,26,1.54
14,65516,배제성,KT,3.68,26,9,0,0,0,0,14,138,134,1.03
15,73738,안영명,KT,4.08,0,0,0,11,8,0,1,41,32,1.28
16,65056,엄상백,KT,4.10,9,4,0,0,0,0,2,43,67,0.64
17,69032,쿠에바스,KT,4.12,23,9,0,1,0,0,7,107,145,0.74
18,50030,소형준,KT,4.16,24,7,0,0,0,0,20,174,82,2.12
19,76757,유원상,KT,6.08,0,0,1,2,1,0,1,14,13,1.08
20,78517,하준호,KT,6.75,0,0,0,2,0,0,2,15,9,1.67
21,69054,이상동,KT,8.53,0,0,0,2,1,0,1,6,8,0.75
22,67048,이정현,KT,9.35,1,0,0,1,0,0,5,14,6,2.33
23,75342,이보근,KT,15.55,0,0,0,2,2,0,1,7,16,0.44
24,51058,한차현,KT,19.64,0,0,0,2,0,0,0,1,7,0.14
1,51294,김도윤,두산,0.00,0,0,0,0,0,0,0,0,1,0.00
1,62951,이형범,두산,0.00,0,0,0,2,0,0,0,5,1,5.00
1,50298,최세창,두산,0.00,0,0,0,1,0,0,1,2,1,2.00
4,76329,이현승,두산,1.93,0,0,5,1,8,0,2,17,31,0.55
5,77263,김강률,두산,2.09,0,0,3,43,30,2,7,53,54,0.98
7,50203,권휘,두산,2.66,0,0,0,7,2,0,2,19,25,0.76
8,61643,홍건희,두산,2.78,0,0,6,11,29,1,6,69,58,1.19
9,51234,로켓,두산,2.98,21,9,0,1,0,0,14,160,77,2.08
11,64805,이승진,두산,3.91,0,0,1,9,15,1,5,48,57,0.84
12,51264,최승용,두산,3.93,2,0,0,1,2,0,3,17,18,0.94
13,67266,박치국,두산,4.09,0,0,2,3,8,0,2,23,13,1.77
14,68220,곽빈,두산,4.10,21,4,0,0,0,0,4,57,125,0.46
15,67246,김명신,두산,4.30,1,0,3,11,8,0,7,79,70,1.13
16,62242,윤명준,두산,4.73,0,0,1,14,3,0,6,45,54,0.83
17,50205,박웅,두산,5.40,0,0,0,6,0,0,5,17,6,2.83
18,63292,박소준,두산,5.73,5,0,0,4,1,0,3,63,77,0.82
19,68200,김민규,두산,6.07,6,0,2,7,3,0,3,39,88,0.44
20,66291,이영하,두산,6.29,11,1,4,4,4,0,10,91,76,1.20
21,67259,문원,두산,6.75,0,0,0,1,0,0,0,1,3,0.33
21,74513,장원준,두산,6.75,0,0,0,2,7,0,1,27,15,1.80
23,65639,박정수,두산,7.42,5,3,0,5,1,0,4,31,31,1.00
24,79229,유희관,두산,7.71,15,4,0,0,0,0,8,66,88,0.75
25,69104,남호,두산,10.13,0,0,0,1,0,0,1,3,2,1.50
26,66160,유재유,두산,10.80,0,0,0,2,0,0,0,3,6,0.50
26,69205,이교훈,두산,10.80,0,0,0,4,0,0,0,8,10,0.80
28,50296,조제영,두산,10.97,1,0,0,3,0,0,2,11,15,0.73
29,68260,현도훈,두산,12.46,2,0,0,0,0,0,0,6,9,0.67
30,66201,고봉재,두산,27.00,0,0,0,0,0,0,1,1,2,0.50
1,75421,오승환,삼성,2.03,0,0,0,61,45,4,6,43,74,0.58
5,73117,우규민,삼성,3.31,0,0,3,8,34,0,2,57,49,1.16
6,65496,홍정우,삼성,3.45,0,0,2,4,1,0,1,14,20,0.70
7,69439,라이블리,삼성,4.05,6,0,0,0,0,0,0,19,41,0.46
8,67419,문용익,삼성,4.50,0,0,2,6,3,0,0,18,27,0.67
8,63492,이재익,삼성,4.50,0,0,2,4,0,0,3,14,9,1.56
10,68419,최지명,삼성,4.56,20,4,1,2,2,0,11,114,156,0.73
11,62920,노건우,삼성,4.74,0,0,0,4,2,0,0,11,26,0.42
12,63960,이상민,삼성,4.74,0,0,1,6,3,0,7,29,25,1.16
13,67421,최지광,삼성,4.91,0,0,7,8,20,0,5,36,59,0.61
14,61411,심창민,삼성,5.08,0,0,3,7,18,0,2,33,61,0.54
15,51454,이승현,삼성,5.26,0,0,1,5,8,0,5,37,26,1.42
16,51439,몽고메리,삼성,5.37,11,2,0,0,0,0,2,58,41,1.41
17,51460,이재희,삼성,5.40,5,0,0,0,0,0,2,23,20,1.15
18,61365,김대우,삼성,6.35,5,0,0,6,2,0,6,47,75,0.63
19,61457,임현준,삼성,6.55,0,0,1,2,9,0,2,11,10,1.10
20,68415,양창섭,삼성,6.60,0,0,1,1,1,0,2,9,21,0.43
21,68403,김무신,삼성,6.63,1,0,0,5,3,0,0,15,17,0.88
22,77927,장필준,삼성,7.27,0,0,0,10,5,0,2,34,42,0.81
23,50464,이승민,삼성,8.58,11,1,0,0,0,0,3,35,45,0.78
