연도,리그_ERA,리그_WHIP,규정투수수,리그_K9
2022,4.062,1.3820000000000001,10,2.1631939958442032
2023,4.141,1.411,10,1.9568426084144643
2024,4.9079999999999995,1.5,10,2.0683993620262067
2025,4.3100000000000005,1.404,10,2.1826321516520553
2026,4.3100000000000005,1.4529999999999998,10,1.9014605134520024
