순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,62415,박해민,삼성,141,67,52,15,77.6,6,2
2,77532,손아섭,롯데,144,46,42,4,91.3,10,1
3,73153,이대형,KT,143,57,37,20,64.9,2,2
4,61353,고종욱,넥센,133,42,28,14,66.7,9,2
4,64300,김하성,넥센,144,43,28,15,65.1,4,0
6,78168,서건창,넥센,140,39,26,13,66.7,9,1
7,76313,황재균,롯데,127,35,25,10,71.4,5,2
8,75808,정근우,한화,138,28,22,6,78.6,8,2
9,74163,이용규,한화,113,32,21,11,65.6,2,1
10,62907,박민우,NC,121,26,20,6,76.9,1,0
11,65653,김호령,KIA,124,29,19,10,65.5,8,2
11,78217,김용의,LG,105,26,19,7,73.1,4,1
13,65103,히메네스,LG,135,27,18,9,66.7,9,2
14,79215,박건우,두산,132,23,17,6,73.9,8,1
14,64346,임병욱,넥센,104,23,17,6,73.9,3,2
14,79109,오지환,LG,121,26,17,9,65.4,4,2
14,64006,심우준,KT,122,18,17,1,94.4,2,1
18,62353,박정음,넥센,98,25,16,9,64.0,4,1
18,76368,유재신,넥센,93,23,16,7,69.6,0,0
18,66805,고메즈,SK,117,24,16,8,66.7,6,0
21,73339,이종욱,NC,134,18,15,3,83.3,4,0
21,65523,아두치,롯데,64,17,15,2,88.2,3,0
23,76849,이명기,SK,99,22,14,8,63.6,5,0
24,77248,오재원,두산,122,23,13,10,56.5,3,1
24,77454,김종호,NC,93,19,13,6,68.4,5,0
24,64914,테임즈,NC,123,17,13,4,76.5,4,1
24,76869,김재현,SK,100,20,13,7,65.0,2,0
28,79231,정수빈,두산,114,16,12,4,75.0,5,0
28,71837,김강민,SK,115,17,12,5,70.6,8,0
28,63704,노수광,KIA,77,14,12,2,85.7,0,2
28,76509,김문호,롯데,140,27,12,15,44.4,4,2
28,78517,하준호,KT,94,16,12,4,75.0,2,2
33,62404,구자욱,삼성,108,15,10,5,66.7,6,0
33,64699,필,KIA,132,13,10,3,76.9,4,2
35,76249,민병헌,두산,134,11,9,2,81.8,7,0
35,70410,김주찬,KIA,130,16,9,7,56.3,5,0
35,73606,서동욱,KIA,124,13,9,4,69.2,5,0
38,74206,김재호,두산,137,12,8,4,66.7,6,0
38,78224,김재환,두산,134,10,8,2,80.0,4,0
38,60456,백상원,삼성,132,11,8,3,72.7,4,0
38,66968,이재율,NC,32,9,8,1,88.9,0,0
38,62893,최정민,SK,88,12,8,4,66.7,2,1
38,76100,이병규,LG,103,13,8,5,61.5,4,1
38,74823,임훈,LG,60,12,8,4,66.7,0,0
38,99606,정성훈,LG,126,12,8,4,66.7,2,0
46,62947,나성범,NC,144,11,7,4,63.6,4,1
46,73342,이택근,넥센,127,11,7,4,63.6,4,1
46,64610,강한울,KIA,104,10,7,3,70.0,3,0
46,72559,신종길,KIA,75,11,7,4,63.6,2,0
46,60523,정훈,롯데,121,14,7,7,50.0,3,1
46,79192,채은성,LG,128,10,7,3,70.0,5,0
52,79240,허경민,두산,144,12,6,6,50.0,5,1
52,79402,김상수,삼성,105,10,6,4,60.0,1,1
52,78467,이영욱,삼성,104,9,6,3,66.7,0,0
52,77564,김민성,넥센,141,9,6,3,66.7,6,0
52,71848,조동화,SK,76,8,6,2,75.0,3,0
52,78629,나지완,KIA,118,9,6,3,66.7,4,0
52,61652,윤정우,KIA,46,7,6,1,85.7,1,2
52,60558,오태곤,롯데,42,8,6,2,75.0,1,0
52,72133,박용택,LG,138,12,6,6,50.0,6,0
52,61186,이천웅,LG,103,15,6,9,40.0,1,1
62,79465,배영섭,삼성,93,13,5,8,38.5,4,2
62,95436,이승엽,삼성,142,7,5,2,71.4,3,0
62,62934,김성욱,NC,130,7,5,2,71.4,3,0
62,62797,양성우,한화,108,7,5,2,71.4,9,1
62,62700,하주석,한화,115,12,5,7,41.7,6,1
62,61204,김동한,롯데,78,6,5,1,83.3,5,0
62,79113,문선재,LG,52,5,5,0,100,3,1
62,72456,손주인,LG,122,9,5,4,55.6,10,1
62,79150,정주현,LG,99,10,5,5,50.0,5,1
62,78361,전민수,KT,74,7,5,2,71.4,2,2
72,74846,박정권,SK,125,4,4,0,100,2,0
72,74540,강민호,롯데,116,4,4,0,100,6,0
72,61554,김민하,롯데,46,4,4,0,100,0,0
72,74339,유한준,KT,110,5,4,1,80.0,3,0
76,62234,류지혁,두산,90,5,3,2,60.0,0,0
76,79456,이지영,삼성,129,5,3,2,60.0,7,0
76,63913,최재원,삼성,28,4,3,1,75.0,1,0
76,78813,모창민,NC,63,5,3,2,60.0,1,0
76,60566,이상호,NC,15,3,3,0,100,0,0
