순위,선수ID,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,72443,최형우,삼성,0.376,79,108,140,0.77,9,1.00,3.94,0.276,136.4,0.372
2,71752,김태균,한화,0.365,62,113,132,0.86,11,1.11,4.25,0.204,132.9,0.356
3,74163,이용규,한화,0.352,27,139,126,1.10,1,2.17,4.13,0.082,84.3,0.306
4,70410,김주찬,KIA,0.346,63,137,135,1.01,12,0.44,3.56,0.219,98.6,0.315
5,72133,박용택,LG,0.346,35,145,124,1.17,10,0.82,3.89,0.112,90.7,0.300
6,62404,구자욱,삼성,0.343,46,111,107,1.04,6,0.81,3.90,0.203,93.0,0.326
7,62907,박민우,NC,0.343,25,136,87,1.56,2,0.79,4.06,0.085,80.5,0.296
8,74339,유한준,KT,0.336,36,120,114,1.05,4,1.18,3.92,0.157,76.2,0.305
9,76313,황재균,롯데,0.335,58,104,169,0.62,17,0.74,3.79,0.235,105.1,0.320
10,79215,박건우,두산,0.335,60,116,125,0.93,4,0.44,3.87,0.215,96.0,0.313
11,61353,고종욱,넥센,0.334,39,142,111,1.28,9,0.27,3.72,0.121,82.7,0.280
12,78224,김재환,두산,0.325,72,101,129,0.78,13,0.66,3.95,0.303,115.9,0.340
13,76753,송광민,한화,0.325,46,115,108,1.06,10,0.33,3.51,0.183,76.0,0.292
14,76509,김문호,롯데,0.325,38,160,127,1.26,4,0.89,4.02,0.105,83.1,0.288
15,78168,서건창,넥센,0.325,44,187,137,1.36,9,1.19,3.61,0.116,100.1,0.293
16,76249,민병헌,두산,0.325,51,101,157,0.64,8,0.53,3.69,0.170,92.4,0.302
17,77532,손아섭,롯데,0.323,50,206,81,2.54,5,0.88,4.16,0.144,117.7,0.305
18,74540,강민호,롯데,0.323,46,90,80,1.13,6,0.73,4.06,0.226,86.4,0.332
19,66740,로사리오,한화,0.321,66,120,126,0.95,12,0.37,3.61,0.272,93.5,0.313
20,64914,테임즈,NC,0.321,73,74,126,0.59,12,0.72,4.04,0.358,120.0,0.362
21,73153,이대형,KT,0.320,18,262,57,4.60,3,0.49,3.69,0.038,78.5,0.255
22,76802,김성현,SK,0.319,36,154,142,1.08,4,0.89,3.29,0.109,71.4,0.272
23,75334,오재일,두산,0.316,49,70,124,0.56,13,0.88,4.07,0.276,90.1,0.333
24,73113,박경수,KT,0.313,43,77,123,0.63,5,0.81,4.25,0.209,83.7,0.316
25,79192,채은성,LG,0.313,32,111,99,1.12,10,0.41,3.79,0.132,64.5,0.275
