순위,선수ID,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,64300,김하성,넥센,유격수,143,141,1203,21,0,162,407,78,0.964,0,0,0,-
1,77532,손아섭,롯데,우익수,143,142,1189,3,0,247,6,1,0.988,0,0,0,-
3,79240,허경민,두산,3루수,142,140,1206 1/3,7,0,101,220,27,0.979,0,0,0,-
3,62947,나성범,NC,우익수,142,139,1206 1/3,8,0,243,4,1,0.969,0,0,0,-
5,75847,최정,SK,3루수,140,136,1181 1/3,14,0,89,291,32,0.964,0,0,0,-
6,75808,정근우,한화,2루수,138,137,1170 2/3,16,0,337,406,105,0.979,0,0,0,-
7,74206,김재호,두산,유격수,137,129,1065,10,0,209,407,90,0.984,0,0,0,-
8,72443,최형우,삼성,좌익수,134,134,1094,3,0,221,4,1,0.987,0,0,0,-
8,78122,김태군,NC,포수,134,121,935 2/3,0,2,859,76,8,1.000,3,57,31,35.2
10,78168,서건창,넥센,2루수,133,133,1125 1/3,15,0,328,349,82,0.978,0,0,0,-
10,65103,히메네스,LG,3루수,133,129,1123 1/3,17,0,109,262,28,0.956,0,0,0,-
12,60456,백상원,삼성,2루수,130,129,1060 2/3,8,0,236,298,81,0.985,0,0,0,-
12,70756,이범호,KIA,3루수,130,128,1038 2/3,11,0,70,215,30,0.963,0,0,0,-
14,77564,김민성,넥센,3루수,128,123,1060,7,0,130,229,19,0.981,0,0,0,-
15,79365,박동원,넥센,포수,126,122,991 1/3,7,1,743,89,8,0.992,8,60,41,40.6
16,76509,김문호,롯데,좌익수,125,117,1005,5,0,201,2,0,0.976,0,0,0,-
17,79456,이지영,삼성,포수,124,101,867,10,1,682,65,13,0.987,5,77,35,31.3
17,76313,황재균,롯데,3루수,124,122,1055 2/3,15,0,85,271,33,0.960,0,0,0,-
19,64699,필,KIA,1루수,123,121,997 2/3,13,0,918,69,94,0.987,0,0,0,-
20,65653,김호령,KIA,중견수,122,112,1009 2/3,3,0,310,10,5,0.991,0,0,0,-
21,77248,오재원,두산,2루수,120,111,941 2/3,16,0,211,313,76,0.970,0,0,0,-
22,62415,박해민,삼성,중견수,119,107,942,2,0,316,6,1,0.994,0,0,0,-
22,79109,오지환,LG,유격수,119,112,990,17,0,181,365,74,0.970,0,0,0,-
24,74846,박정권,SK,1루수,118,107,918,6,0,947,91,91,0.994,0,0,0,-
25,73153,이대형,KT,중견수,117,107,896,1,0,212,7,1,0.995,0,0,0,-
26,62907,박민우,NC,2루수,116,113,897 1/3,14,0,224,278,65,0.973,0,0,0,-
26,76812,이재원,SK,포수,116,111,896 1/3,8,2,689,69,6,0.990,2,78,41,34.5
26,73602,차일목,한화,포수,116,90,708 1/3,6,2,582,57,6,0.991,6,76,31,29.0
29,74465,박석민,NC,3루수,114,111,891,15,0,54,153,11,0.932,0,0,0,-
29,64914,테임즈,NC,1루수,114,111,905,4,0,803,52,88,0.995,0,0,0,-
29,71837,김강민,SK,중견수,114,107,875 2/3,2,0,194,5,1,0.990,0,0,0,-
29,60523,정훈,롯데,2루수,114,108,851 1/3,11,0,201,246,64,0.976,0,0,0,-
33,74163,이용규,한화,중견수,113,113,979 1/3,3,0,294,6,5,0.990,0,0,0,-
33,73606,서동욱,KIA,2루수,113,108,816 2/3,6,0,223,240,57,0.987,0,0,0,-
35,66805,고메즈,SK,유격수,112,109,933,25,0,185,349,77,0.955,0,0,0,-
35,76753,송광민,한화,3루수,112,109,889,12,0,90,192,33,0.959,0,0,0,-
35,70410,김주찬,KIA,좌익수,112,108,879 2/3,3,0,205,3,1,0.986,0,0,0,-
38,76802,김성현,SK,2루수,111,107,886,9,0,218,323,88,0.984,0,0,0,-
39,78224,김재환,두산,좌익수,110,107,865 1/3,5,0,190,2,0,0.975,0,0,0,-
39,73213,손시헌,NC,유격수,110,103,863,13,0,209,291,80,0.975,0,0,0,-
39,72456,손주인,LG,2루수,110,97,791,6,0,199,270,61,0.987,0,0,0,-
42,62700,하주석,한화,유격수,109,104,886 1/3,19,0,176,267,65,0.959,0,0,0,-
42,72546,문규현,롯데,유격수,109,92,781 2/3,7,0,138,288,61,0.984,0,0,0,-
42,73113,박경수,KT,2루수,109,108,888,13,0,227,317,76,0.977,0,0,0,-
45,79231,정수빈,두산,중견수,107,56,624 2/3,2,0,175,2,0,0.989,0,0,0,-
45,61353,고종욱,넥센,좌익수,107,92,804,1,0,170,4,0,0.994,0,0,0,-
47,62404,구자욱,삼성,1루수,105,105,904,7,0,845,59,84,0.992,0,0,0,-
47,79402,김상수,삼성,유격수,105,102,867 1/3,15,0,163,281,69,0.967,0,0,0,-
47,99606,정성훈,LG,1루수,105,88,729 2/3,4,0,743,43,71,0.995,0,0,0,-
47,70553,박기혁,KT,유격수,105,88,726,11,0,137,262,53,0.973,0,0,0,-
51,76232,양의지,두산,포수,103,93,740,7,1,628,50,12,0.990,1,54,20,27.0
52,75334,오재일,두산,1루수,102,96,853,7,0,840,55,100,0.992,0,0,0,-
53,64346,임병욱,넥센,중견수,101,71,638 2/3,3,0,207,6,2,0.986,0,0,0,-
54,61102,유강남,LG,포수,100,76,658,5,1,479,51,4,0.991,3,39,24,38.1
55,75151,정의윤,SK,우익수,99,94,759,5,0,152,7,2,0.970,0,0,0,-
56,64610,강한울,KIA,유격수,97,84,688 2/3,11,0,144,242,55,0.972,0,0,0,-
57,74540,강민호,롯데,포수,95,93,763 1/3,4,3,629,72,10,0.994,7,61,32,34.4
57,79192,채은성,LG,우익수,95,79,665,1,0,146,5,0,0.993,0,0,0,-
59,62559,김상호,롯데,1루수,93,88,738,5,0,697,43,87,0.993,0,0,0,-
60,63634,이홍구,KIA,포수,92,64,532,5,0,428,33,4,0.989,0,56,10,15.2
60,64006,심우준,KT,유격수,92,51,510,12,0,98,171,44,0.957,0,0,0,-
62,76249,민병헌,두산,우익수,90,55,549 2/3,0,0,110,2,0,1.000,0,0,0,-
63,62797,양성우,한화,우익수,89,69,640,1,0,148,6,0,0.994,0,0,0,-
63,65005,마르테,KT,3루수,89,88,718 2/3,7,0,66,152,20,0.969,0,0,0,-
63,74339,유한준,KT,우익수,89,82,686 2/3,1,0,147,8,0,0.994,0,0,0,-
66,71432,박한이,삼성,우익수,88,80,638,0,0,132,4,0,1.000,0,0,0,-
66,63920,김준완,NC,중견수,88,31,399,0,0,95,0,0,1.000,0,0,0,-
68,74223,용덕한,NC,포수,87,23,310 2/3,1,1,293,19,4,0.997,0,13,8,38.1
68,76849,이명기,SK,좌익수,87,66,592 2/3,4,0,145,5,1,0.974,0,0,0,-
68,79453,오정복,KT,좌익수,87,70,589,3,0,116,4,2,0.976,0,0,0,-
71,60343,이해창,KT,포수,85,66,575 1/3,8,0,476,48,6,0.985,7,35,31,47.0
72,63440,이흥련,삼성,포수,82,39,381 1/3,5,2,291,28,5,0.985,3,35,9,20.5
73,62244,박세혁,두산,포수,80,46,469 1/3,2,0,335,28,6,0.995,1,24,14,36.8
73,62934,김성욱,NC,좌익수,80,30,357 1/3,0,0,66,4,0,1.000,0,0,0,-
75,73342,이택근,넥센,우익수,79,73,571 1/3,0,0,126,6,0,1.000,0,0,0,-
75,79150,정주현,LG,2루수,79,44,404 1/3,7,0,90,129,34,0.969,0,0,0,-
77,62265,유민상,KT,1루수,78,56,447,5,0,406,24,44,0.989,0,0,0,-
78,99737,박정진,한화,투수,77,1,84,1,0,3,11,0,0.933,0,0,0,-
78,79364,김종민,KT,포수,77,61,523 1/3,6,0,387,31,3,0.986,0,59,15,20.3
80,72466,조동찬,삼성,3루수,76,63,504 2/3,11,0,46,97,13,0.929,0,0,0,-
81,79215,박건우,두산,우익수,75,63,514 2/3,1,0,104,4,2,0.991,0,0,0,-
81,62864,김민식,SK,포수,75,33,359,7,0,263,23,2,0.976,2,26,15,36.6
81,76100,이병규,LG,좌익수,75,62,517 1/3,3,0,122,8,0,0.977,0,0,0,-
81,76650,진해수,LG,투수,75,0,54,0,0,1,6,0,1.000,0,0,0,-
85,78643,백용환,KIA,포수,74,48,425 1/3,6,1,297,35,5,0.982,3,39,17,30.4
86,75441,조영훈,NC,1루수,73,31,360 1/3,5,0,342,24,28,0.987,0,0,0,-
86,98144,조인성,한화,포수,73,24,333 2/3,4,0,257,26,2,0.986,1,32,13,28.9
88,66740,로사리오,한화,1루수,72,69,580,6,0,496,49,46,0.989,0,0,0,-
88,71842,정상호,LG,포수,72,39,367 2/3,3,2,274,27,4,0.990,2,26,10,27.8
90,77446,백정현,삼성,투수,70,4,68 2/3,0,0,1,8,0,1.000,0,0,0,-
91,76249,민병헌,두산,중견수,69,66,476 2/3,0,0,118,2,1,1.000,0,0,0,-
91,75867,김진성,NC,투수,69,0,84 1/3,2,0,4,10,1,0.875,0,0,0,-
93,77463,채태인,넥센,1루수,68,62,518 2/3,3,0,506,30,49,0.994,0,0,0,-
93,71845,채병용,SK,투수,68,0,83 2/3,2,0,4,11,1,0.882,0,0,0,-
95,61365,김대우,삼성,투수,67,0,66,0,0,4,9,0,1.000,0,0,0,-
95,64499,김재현,삼성,유격수,67,42,379 2/3,4,0,71,128,28,0.980,0,0,0,-
95,76430,김태혁,넥센,투수,67,0,74,0,0,0,6,0,1.000,0,0,0,-
95,75342,이보근,넥센,투수,67,0,64 2/3,1,0,6,4,0,0.909,0,0,0,-
95,61891,임정우,LG,투수,67,0,70 2/3,1,0,2,4,1,0.857,0,0,0,-
95,75149,홍성용,KT,투수,67,0,46 1/3,3,1,3,7,0,0.769,0,0,0,-
101,73339,이종욱,NC,좌익수,66,57,434 1/3,1,0,86,10,0,0.990,0,0,0,-
101,72447,권혁,한화,투수,66,0,95 1/3,3,0,5,14,1,0.864,0,0,0,-
101,74731,송창식,한화,투수,66,1,97 2/3,2,0,5,10,1,0.882,0,0,0,-
101,74167,심수창,한화,투수,66,10,113 1/3,4,0,3,16,2,0.826,0,0,0,-
101,72551,이정민,롯데,투수,66,0,77,0,0,6,7,5,1.000,0,0,0,-
101,65115,안익훈,LG,중견수,66,2,175,2,0,45,2,1,0.959,0,0,0,-
107,73339,이종욱,NC,중견수,65,65,496 2/3,1,0,112,1,0,0.991,0,0,0,-
107,78352,임창민,NC,투수,65,0,70,0,0,0,10,0,1.000,0,0,0,-
109,61411,심창민,삼성,투수,62,0,72 2/3,0,1,1,4,0,1.000,0,0,0,-
109,76350,김세현,넥센,투수,62,0,62 1/3,0,0,2,5,0,1.000,0,0,0,-
109,64646,박찬호,KIA,유격수,62,6,165,7,0,34,53,8,0.926,0,0,0,-
109,72862,윤길현,롯데,투수,62,0,60,0,0,3,7,0,1.000,0,0,0,-
113,72749,마정길,넥센,투수,61,0,63 2/3,0,1,1,5,0,1.000,0,0,0,-
113,74857,정우람,한화,투수,61,0,81,1,0,7,16,2,0.958,0,0,0,-
115,74630,박근홍,삼성,투수,60,0,41,0,0,2,7,0,1.000,0,0,0,-
115,79465,배영섭,삼성,우익수,60,45,415 2/3,0,0,98,3,0,1.000,0,0,0,-
117,78217,김용의,LG,중견수,59,48,364 2/3,0,0,90,0,0,1.000,0,0,0,-
117,64153,양석환,LG,1루수,59,32,340,4,0,331,20,34,0.989,0,0,0,-
117,61329,윤지웅,LG,투수,59,0,44,1,0,5,6,1,0.917,0,0,0,-
117,64017,심재민,KT,투수,59,0,54 1/3,1,0,0,7,0,0.875,0,0,0,-
121,73306,지석훈,NC,2루수,58,28,336,3,0,58,107,27,0.982,0,0,0,-
121,71610,김경언,한화,우익수,58,52,384,1,0,81,4,1,0.988,0,0,0,-
121,61204,김동한,롯데,2루수,58,25,261,2,0,77,73,23,0.987,0,0,0,-
121,62558,김준태,롯데,포수,58,33,316 2/3,0,0,257,27,4,1.000,3,18,15,45.5
125,71347,장민석,한화,좌익수,57,26,266 2/3,2,0,43,1,0,0.957,0,0,0,-
125,71562,박종윤,롯데,1루수,57,45,407 1/3,3,0,403,43,31,0.993,0,0,0,-
125,65523,아두치,롯데,중견수,57,52,446 2/3,2,0,112,2,0,0.983,0,0,0,-
125,64166,배정대,KT,중견수,57,11,162 2/3,2,0,38,2,0,0.952,0,0,0,-
129,76329,이현승,두산,투수,56,0,57 2/3,0,1,1,11,1,1.000,0,0,0,-
129,77927,장필준,삼성,투수,56,1,72,0,0,7,15,2,1.000,0,0,0,-
129,73306,지석훈,NC,유격수,56,36,323 1/3,6,0,53,114,18,0.965,0,0,0,-
129,71752,김태균,한화,1루수,56,55,471 2/3,4,0,406,33,50,0.991,0,0,0,-
129,70646,김상현,KT,1루수,56,53,435 2/3,9,0,418,35,56,0.981,0,0,0,-
134,79215,박건우,두산,좌익수,55,31,291 2/3,2,0,63,2,0,0.970,0,0,0,-
134,62242,윤명준,두산,투수,55,0,57,0,0,3,5,0,1.000,0,0,0,-
134,78257,진야곱,두산,투수,55,2,62,0,0,1,6,0,1.000,0,0,0,-
134,62332,김재현,넥센,포수,55,19,224 2/3,1,0,143,12,2,0.994,2,28,8,22.2
134,74359,오주원,넥센,투수,55,0,51,0,0,4,6,0,1.000,0,0,0,-
134,72559,신종길,KIA,우익수,55,49,370,0,0,72,0,0,1.000,0,0,0,-
