순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,NC,25,45,37,8,82.2,10,1
2,SSG,25,27,22,5,81.5,6,0
3,LG,25,28,21,7,75.0,13,1
4,두산,26,24,19,5,79.2,3,1
5,롯데,25,20,16,4,80.0,12,0
6,한화,25,22,15,7,68.2,4,2
6,삼성,25,21,15,6,71.4,4,2
8,KT,26,21,13,8,61.9,6,0
9,KIA,26,14,11,3,78.6,4,2
10,키움,26,8,7,1,87.5,6,0
