순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,KT,26,19,0,705,264,30,0.981,0,26,6,18.8
2,두산,26,17,0,699,239,22,0.982,1,15,1,6.3
3,KIA,26,16,0,690,229,15,0.983,2,23,4,14.8
4,키움,26,24,1,680,229,21,0.974,0,16,4,20.0
5,한화,25,26,1,675,234,32,0.972,3,10,6,37.5
6,LG,25,14,2,672,238,18,0.985,0,22,9,29.0
6,삼성,25,12,0,672,266,22,0.987,3,19,6,24.0
8,SSG,25,22,1,668,255,27,0.977,2,13,5,27.8
9,롯데,25,16,2,661,237,17,0.982,1,18,9,33.3
10,NC,25,16,2,654,238,18,0.982,1,11,4,26.7
