season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2023,KIA,3.7600000000000002,1.2920000000000003,589.6666666666666,486,2.96,0.8000000000000003
2023,KT,3.408,1.252,691.0,539,2.6,0.8079999999999998
2023,LG,3.622,1.294,680.0,501,2.18,1.4419999999999997
2023,NC,3.5,1.204,541.0,476,2.0,1.5
2023,SSG,4.216,1.4440000000000002,679.3333333333334,481,2.59,1.6260000000000003
2023,두산,3.3920000000000003,1.21,642.6666666666666,521,2.49,0.9020000000000001
2023,롯데,4.07,1.4280000000000002,639.0000000000001,534,2.26,1.8100000000000005
2023,삼성,3.582,1.304,661.6666666666666,489,2.54,1.0419999999999998
2023,키움,3.942,1.322,543.6666666666666,464,2.39,1.552
2023,한화,3.6580000000000004,1.314,593.0,468,3.23,0.4280000000000004
