season,team,final_rank,postseason
2023,LG,1,1
2023,KT,2,1
2023,SSG,3,1
2023,NC,4,1
2023,두산,5,1
2023,KIA,6,0
2023,롯데,7,0
2023,삼성,8,0
2023,한화,9,0
2023,키움,10,0
