순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,68341,안우진,키움,2.11,30,15,0,1,0,0,10,160,187,0.86
2,77829,김광현,SSG,2.13,28,13,0,0,0,0,22,181,163,1.11
3,52145,플럿코,LG,2.39,28,15,0,0,0,0,14,105,221,0.48
4,52457,수아레즈,삼성,2.49,29,6,0,0,0,0,16,194,149,1.30
5,69103,켈리,LG,2.54,27,16,0,0,0,0,14,179,149,1.20
6,69343,요키시,키움,2.57,30,10,0,0,0,0,14,238,135,1.76
7,51863,폰트,SSG,2.69,28,13,0,1,0,0,5,153,222,0.69
8,69940,루친스키,NC,2.97,31,10,0,0,0,0,13,208,157,1.32
9,50404,뷰캐넌,삼성,3.04,26,11,0,1,0,0,15,220,122,1.80
10,50030,소형준,KT,3.05,27,13,0,0,0,0,19,230,146,1.58
11,64001,고영표,KT,3.26,28,13,0,1,0,0,19,238,128,1.86
12,52234,스탁,두산,3.60,29,9,0,0,0,0,25,196,130,1.51
12,67263,최원준,두산,3.60,30,8,0,0,0,0,11,124,243,0.51
14,52528,반즈,롯데,3.62,31,12,0,0,0,0,16,198,180,1.10
15,68220,곽빈,두산,3.78,27,8,0,0,0,0,8,118,168,0.70
16,77637,양현종,KIA,3.85,30,12,0,0,0,0,12,181,189,0.96
17,51648,이의리,KIA,3.86,28,10,0,0,0,0,7,131,164,0.80
18,64021,박세웅,롯데,3.89,28,10,0,0,0,0,16,195,111,1.76
19,69446,원태인,삼성,3.92,27,10,0,0,0,0,11,170,178,0.96
20,65764,김민우,한화,4.36,29,6,0,1,0,0,16,155,181,0.86
21,50859,오원석,SSG,4.50,24,5,1,0,2,0,17,137,160,0.86
22,50040,데스파이네,KT,4.53,29,8,0,0,0,0,22,202,133,1.52
1,52808,모리만도,SSG,1.67,12,7,0,0,0,0,4,73,77,0.95
3,64896,서동민,SSG,2.57,0,0,1,2,6,0,1,14,28,0.50
5,73211,노경은,SSG,3.05,8,5,7,7,16,1,11,91,78,1.17
6,60768,이태양,SSG,3.62,17,7,1,3,0,0,8,120,139,0.86
7,72523,고효준,SSG,3.72,0,0,1,6,11,0,2,43,37,1.16
8,68856,최민준,SSG,3.95,1,0,5,10,9,0,8,86,63,1.37
9,61895,서진용,SSG,4.01,0,0,7,40,40,0,6,70,64,1.09
10,64893,박민호,SSG,4.09,0,0,1,11,6,0,3,26,24,1.08
11,51895,장지훈,SSG,4.25,0,0,2,12,7,0,4,69,54,1.28
13,65343,김택형,SSG,4.92,0,0,3,24,35,1,3,68,47,1.45
14,62869,문승원,SSG,5.11,0,0,1,7,6,0,1,22,22,1.00
15,60841,박종훈,SSG,6.00,11,3,0,0,0,0,5,59,37,1.59
16,52833,노바,SSG,6.50,12,3,0,0,0,0,13,86,63,1.37
17,51809,조요한,SSG,6.52,0,0,2,4,10,0,4,20,19,1.05
18,52809,전영준,SSG,7.20,1,0,0,1,0,0,1,6,1,6.00
19,51867,김건우,SSG,9.00,1,0,0,1,0,0,0,2,5,0.40
19,76430,김태혁,SSG,9.00,0,0,0,2,1,0,0,7,12,0.58
19,52873,신헌민,SSG,9.00,0,0,0,1,0,0,1,1,0,-
19,52867,윤태현,SSG,9.00,0,0,0,1,1,0,0,3,1,3.00
19,64861,이건욱,SSG,9.00,1,0,0,0,0,0,1,3,3,1.00
24,79847,김태훈,SSG,10.13,0,0,0,1,6,0,0,3,10,0.30
24,65058,정성곤,SSG,10.13,0,0,0,0,0,0,0,3,2,1.50
26,65411,김주온,SSG,11.25,0,0,0,4,0,0,0,6,2,3.00
27,62937,신재영,SSG,12.46,0,0,0,2,0,0,1,5,3,1.67
28,68092,한두솔,SSG,16.88,0,0,0,3,0,0,0,10,5,2.00
29,50812,박시후,SSG,18.00,0,0,0,1,0,0,0,3,0,-
1,67391,김재웅,키움,2.01,0,0,3,18,42,0,5,46,77,0.60
2,51393,김준형,키움,2.03,0,0,0,2,1,0,3,14,16,0.88
5,62360,김태훈,키움,3.14,0,0,3,12,21,0,4,52,35,1.49
6,60336,문성현,키움,3.27,0,0,0,15,28,0,3,49,37,1.32
7,64350,하영민,키움,3.43,0,0,5,17,1,0,2,56,39,1.44
8,67603,이승호,키움,3.58,0,0,3,15,24,0,8,42,49,0.86
9,65320,최원태,키움,3.75,20,7,0,0,1,0,9,120,124,0.97
10,64051,이영준,키움,4.29,0,0,2,6,4,0,4,21,20,1.05
11,52308,애플러,키움,4.30,25,6,0,2,0,0,15,179,131,1.37
12,66305,박승주,키움,4.32,0,0,1,11,1,0,2,17,32,0.53
13,50360,김동혁,키움,4.73,0,0,2,6,4,0,3,33,23,1.43
14,62363,한현희,키움,4.75,14,6,0,0,1,0,3,82,88,0.93
15,66018,김선기,키움,5.15,2,0,3,4,7,0,5,46,30,1.53
15,61268,양현,키움,5.15,0,0,3,7,8,0,3,55,38,1.45
17,52397,이명종,키움,5.27,0,0,4,6,3,0,3,35,20,1.75
18,78148,정찬헌,키움,5.36,20,5,0,0,0,0,10,117,90,1.30
19,69328,박주성,키움,5.54,0,0,1,7,1,0,0,15,16,0.94
20,69399,윤정현,키움,6.35,2,0,1,2,3,0,3,31,14,2.21
21,51359,장재영,키움,7.71,0,0,0,3,0,0,1,10,10,1.00
22,51301,김성진,키움,7.89,0,0,0,8,2,0,3,20,23,0.87
23,52330,주승우,키움,10.80,1,0,0,1,0,0,0,2,4,0.50
24,52394,노운현,키움,11.25,0,0,0,1,0,0,0,9,2,4.50
25,52391,송정인,키움,22.50,0,0,0,0,0,0,0,6,0,-
1,52140,김주완,LG,0.00,0,0,0,1,0,0,0,2,0,-
1,52149,조원태,LG,0.00,0,0,0,1,0,0,2,7,3,2.33
1,65241,채원후,LG,0.00,0,0,0,1,1,0,2,5,1,5.00
4,67119,고우석,LG,1.48,0,0,4,57,44,2,3,50,48,1.04
5,61145,이우찬,LG,1.81,0,0,5,4,3,0,4,57,30,1.90
6,68130,김영준,LG,1.86,2,0,0,0,0,0,2,10,10,1.00
7,60337,김대유,LG,2.04,0,0,2,4,18,0,4,33,43,0.77
8,63248,함덕주,LG,2.13,0,0,0,2,2,0,1,10,12,0.83
9,62146,최성훈,LG,2.16,0,0,0,5,7,0,2,46,28,1.64
10,63145,배재준,LG,2.30,5,0,0,7,1,0,3,26,39,0.67
12,76650,진해수,LG,2.40,0,0,4,7,16,0,3,47,44,1.07
13,67116,오석주,LG,2.45,0,0,0,2,0,0,0,5,4,1.25
15,69159,정우영,LG,2.64,0,0,2,3,35,0,14,100,22,4.55
16,75867,김진성,LG,3.10,0,0,6,12,17,0,2,37,75,0.49
17,50157,김윤식,LG,3.31,23,8,0,0,0,0,14,145,98,1.48
18,69134,이정용,LG,3.34,0,0,4,7,28,0,3,41,92,0.45
19,51143,강효종,LG,3.60,1,1,0,0,0,0,1,5,3,1.67
20,73801,송은범,LG,4.05,0,0,1,4,1,0,5,40,22,1.82
21,79140,최동환,LG,4.14,0,0,0,16,3,0,3,40,76,0.53
22,69108,이지강,LG,4.91,1,0,0,2,0,0,1,9,16,0.56
23,67143,손주영,LG,4.97,3,0,0,0,0,0,1,15,14,1.07
24,61101,임찬규,LG,5.04,23,6,0,0,0,0,6,93,127,0.73
25,51111,송승기,LG,5.40,0,0,0,2,0,0,0,8,7,1.14
26,50126,이민호,LG,5.51,26,12,0,0,0,0,11,135,130,1.04
27,69113,임준형,LG,6.00,5,0,1,1,0,0,3,33,25,1.32
28,52119,허준혁,LG,9.64,0,0,0,3,0,0,1,7,3,2.33
29,65109,백승현,LG,10.80,0,0,0,3,2,0,2,13,11,1.18
1,65048,김민수,KT,1.90,0,0,5,13,34,1,6,77,68,1.13
2,68043,김민,KT,2.35,0,0,0,0,0,0,1,4,9,0.44
3,67048,이정현,KT,2.45,0,0,0,2,0,0,0,1,8,0.13
3,69032,쿠에바스,KT,2.45,2,1,0,0,0,0,1,9,15,0.60
5,52043,벤자민,KT,2.70,17,5,0,0,0,0,9,91,110,0.83
5,73738,안영명,KT,2.70,0,0,0,2,0,0,1,3,6,0.50
5,52063,이상우,KT,2.70,0,0,0,0,0,0,0,2,6,0.33
8,68896,이채호,KT,2.95,0,0,5,6,6,0,1,41,33,1.24
9,65056,엄상백,KT,2.95,22,10,1,0,2,0,9,96,170,0.56
11,65062,김재윤,KT,3.26,0,0,9,55,39,6,1,42,77,0.55
13,52060,박영현,KT,3.66,0,0,0,17,3,0,2,30,67,0.45
14,64017,심재민,KT,3.74,1,0,4,7,3,0,4,60,43,1.40
